,title,author,url,category,id
59,The Hermetic Arcanum,none provided,https://sacred-texts.com/alc/harcanum.htm,Alchemy,ha
60,Hortulanus’ Commentary on the Emerald Tablet,none provided,https://sacred-texts.com/alc/hortulan.htm,Alchemy,ho
61,The Stone of the Philosophers,Edward Kelly,https://sacred-texts.com/alc/kellystn.htm,Alchemy,ke
62,Mary the Prophetess,none provided,https://sacred-texts.com/alc/maryprof.htm,Alchemy,ma
63,An Alchemical Mass,none provided,https://sacred-texts.com/alc/mass.htm,Alchemy,
64,The Mirror of Alchemy,none provided,https://sacred-texts.com/alc/mirror.htm,Alchemy,
65,On the Philadelphian Gold,none provided,https://sacred-texts.com/alc/philadel.htm,Alchemy,ph
66,Tract on the Tincture and Oil of Antimony,Roger Bacon,https://sacred-texts.com/alc/rbacon2.htm,Alchemy,r
67,Turba Philosophorum (part 1),none provided,https://sacred-texts.com/alc/turba.htm,Alchemy,
68,Turba Philosophorum (part 2),none provided,https://sacred-texts.com/alc/turba2.htm,Alchemy,
69,Coelum philosophorum,Paracelsus,https://sacred-texts.com/alc/coelum.htm,Alchemy,
70,The Book Concerning The Tincture Of The Philosophers,Paracelsus,https://sacred-texts.com/alc/paracel2.htm,Alchemy,pa
71,The Treasure of Treasures for Alchemists,Paracelsus,https://sacred-texts.com/alc/paracel1.htm,Alchemy,pa
72,The Aurora of the Philosophers,Paracelsus,https://sacred-texts.com/alc/paracel3.htm,Alchemy,pa
73,Alchemical Catechism,none provided,https://sacred-texts.com/alc/tschoudy.htm,Alchemy,ts
74,Myths and Legends of Our Own Land,Charles M. Skinner,https://sacred-texts.com/ame/lol/index.htm,Americana,lol
75,Drums and Shadows,Mary Granger,https://sacred-texts.com/afr/das/index.htm,Americana,das
76,Pow-wows; or Long Lost Friend,by George Hohman,https://sacred-texts.com/ame/pow/index.htm,Americana,pow
77,Folk-Lore of the Pennsylvania Germans,W. J. Hoffman,https://sacred-texts.com/ame/fpg/index.htm,Americana,fpg
78,The Realness of Witchcraft in America,"A. Monroe Aurand, Jr.",https://sacred-texts.com/ame/row/index.htm,Americana,row
79,Early Life of the Pennsylvania Germans,"A. Monroe Aurand, Jr.",https://sacred-texts.com/ame/elpg/index.htm,Americana,elpg
